model,accuracy,macro_f1,auc_roc,ms_per_row,total_time_s,n_samples,week,device,mode,dataset,n_train,n_test,split,unknown,avg_tokens
Random Forest (100 trees),0.6439,0.64,0.6795,0.089,0.05,615,1,local-cpu,baseline,nvidia/Nemotron-Personas-USA,2460.0,615.0,shared-5000,,
XGBoost,0.7089,0.7067,0.7447,0.005,0.0,615,1,local-cpu,baseline,nvidia/Nemotron-Personas-USA,2460.0,615.0,shared-5000,,
Nano 4B zero-shot,0.6439,0.6207,0.6264,3124.3,,615,3,local-rtx4060,,nvidia/Nemotron-Personas-USA,,,,0.0,
Nano 4B few-shot,0.7075,0.7075,0.7136,4197.9,,612,3,local-rtx4060,,nvidia/Nemotron-Personas-USA,,,,3.0,
Nano 30B zero-shot,0.7301,0.7291,0.7308,4185.1,,615,4,fds-rtx5000,,nvidia/Nemotron-Personas-USA,,,,0.0,187.3
Nano 30B few-shot,0.6821,0.6817,0.6888,10712.0,,563,4,fds-rtx5000,,nvidia/Nemotron-Personas-USA,,,,52.0,1061.5
Nano 30B reasoning OFF,0.735,0.7331,0.7334,3559.9,,615,4,fds-rtx5000,,nvidia/Nemotron-Personas-USA,,,,0.0,143.0
