cluster,size,zs_accuracy,fs_accuracy,nt_accuracy,college_rate,avg_age,dominant_verdict,top_occupations
0,170,0.753,0.752,0.771,0.471,52.5,no,"software_developer, secretary_or_administrative_assistant, financial_manager"
1,122,0.689,0.575,0.721,0.344,34.5,no,"driver_sales_worker_or_truck_driver, customer_service_representative, first_line_supervisor_of_retail_sales_worker"
2,156,0.769,0.683,0.75,0.481,33.6,no,"cashier, elementary_or_middle_school_teacher, janitor_or_building_cleaner"
3,167,0.701,0.682,0.695,0.491,51.9,no,"software_developer, manager, customer_service_representative"
