cluster,size,zs_accuracy,fs_accuracy,college_rate,avg_age,dominant_verdict,top_occupations
0,170,0.647,0.724,0.471,52.5,no,"software_developer, secretary_or_administrative_assistant, financial_manager"
1,122,0.648,0.65,0.344,34.5,no,"driver_sales_worker_or_truck_driver, customer_service_representative, first_line_supervisor_of_retail_sales_worker"
2,156,0.654,0.744,0.481,33.6,no,"cashier, elementary_or_middle_school_teacher, janitor_or_building_cleaner"
3,167,0.629,0.699,0.491,51.9,no,"software_developer, manager, customer_service_representative"
